title,subtitle,authors,publishedDate,industryIdentifiers,previewLink,publicDomain,pdfDownloadLink,epubDownloadLink
A Prose English Translation of the Mahabharata,(tr. Literally from the Original Sanskrit Text),Manmatha Nath Dutt,1895,STANFORD:36105012200098,http://books.google.com/books?id=Wy0MAAAAIAAJ&printsec=frontcover&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=1&source=gbs_api,True,http://books.google.com/books/download/A_Prose_English_Translation_of_the_Mahab.pdf?id=Wy0MAAAAIAAJ&hl=&output=pdf&sig=ACfU3U3hUR8c4z-qqQwB2-i3wCjUFF3RVA&source=gbs_api,http://books.google.com/books/download/A_Prose_English_Translation_of_the_Mahab.epub?id=Wy0MAAAAIAAJ&hl=&output=epub&source=gbs_api
A Prose English Translation of the Mahabharata,(transl. Literally from the Original Sanskrit Text).. Virata parva,Manmathanātha Dutt,1896,OCLC:935791945,http://books.google.com/books?id=fvQezQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=2&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa. Translated Into English Prose from the Original Sanskrit Text Volume 10,,"Kisari Mohan Ganguli,Pratap Chandra Roy",2016-05-08,"1356069053,9781356069057",http://books.google.com/books?id=yFzMjwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=3&source=gbs_api,False,,
A Prose English Translation of the Mahabharata (translated Literally from the Original Sanskrift Text) ...,,,1895,OCLC:31713488,http://books.google.com/books?id=CdrVzAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=4&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose: Karna parva (1889). Çalya parva (1889). Sauptika parva (1890). Stree parva (1890),,,1887,WISC:89094596533,http://books.google.com/books?id=yrpZAAAAMAAJ&printsec=frontcover&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=5&source=gbs_api,True,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.pdf?id=yrpZAAAAMAAJ&hl=&output=pdf&sig=ACfU3U1XyW6GarAfNevBm6Xks9V9JGuw1Q&source=gbs_api,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.epub?id=yrpZAAAAMAAJ&hl=&output=epub&source=gbs_api
The Mahabharata,A Shortened Modern Prose Version of the Indian Epic,R. K. Narayan,2016-02-12,"9780226057477,022605747X",http://books.google.com/books?id=ZPBLAgAAQBAJ&printsec=frontcover&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=6&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose: Bhishma parva (1891),,,1886,WISC:89040410433,http://books.google.com/books?id=A9RZAAAAMAAJ&printsec=frontcover&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=7&source=gbs_api,True,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.pdf?id=A9RZAAAAMAAJ&hl=&output=pdf&sig=ACfU3U28GX311yrxq_5xTByfwtEJ-E1YMA&source=gbs_api,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.epub?id=A9RZAAAAMAAJ&hl=&output=epub&source=gbs_api
A Prose English Translation of the Mahabharata (translated Literally from the Original Sanskrit Text).,Adi Parva,Manmatha Nath Dutt,1893,OCLC:452929501,http://books.google.com/books?id=prtInQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=8&source=gbs_api,False,,
Vyasa. A Prose English Translation of the Mahabharata.,Translated Literally from the Original Sanskrit Text,Manmatha Nath Dutt,1895,OCLC:1141814468,http://books.google.com/books?id=UoZkzQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=9&source=gbs_api,False,,
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 17. Mahaprasthana Parva,,Manmatha Nath Dutt,1905,OCLC:634522497,http://books.google.com/books?id=rbnPXwAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=10&source=gbs_api,False,,
